id;customer_name;tel;email
1;ability Hat Iraq;magenta Concrete;Deion32@yahoo.com
2;Mauritania;facilitate Tasty Concrete Chips Exclusive;Jerry14@hotmail.com
3;Supervisor;Personal Loan Account;Hallie27@yahoo.com
4;Investor Public-key;Lebanon;Winona59@yahoo.com
5;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;Raymundo_Borer15@yahoo.com
6;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;Raleigh_Fahey@yahoo.com
7;Sausages;disintermediate Cambridgeshire hacking;Evan20@hotmail.com
8;Tanzania Fiji Dollar Profound;parsing;Jose24@yahoo.com
9;Tasty Customer Human;pink even-keeled;Mohammed_Stamm88@hotmail.com
10;optical invoice;Marketing;Stanford_Ortiz@hotmail.com
